id,text,category,priority
1,Suggest LED replacement for old lights at Sanyogitaganj This is causing great inconvenience.,Electricity,Low
2,Water meter replacement requested for old meter at Bengali Square,Water Issues,Low
3,Frequent power cuts 7 times daily affecting Nanda Nagar,Electricity,Medium
4,Garbage piling up for 1 days no collection Rajiv Gandhi Square This has been ignored for long.,Sanitation,Medium
5,Street light not working since 4 days at Sector 12,Street Lights,Medium
6,Sewage entering residential area Nipania disease outbreak risk Residents are suffering.,Sanitation,High
7,Road completely submerged under water impassable Rau This is causing great inconvenience.,Roads & Potholes,High
8,All street lights not working Marimata Chowk area completely dark Residents are suffering.,Street Lights,High
9,High voltage wire touching tree branches at Airport Road risk,Electricity,High
10,Electricity supply unstable voltage fluctuation Sukhliya,Electricity,Medium
11,Construction debris dumped illegally at Nipania road,Sanitation,Medium
12,Street light pole rusted leaning at Race Course Road needs repair This is causing great inconvenience.,Street Lights,Medium
13,Massive crater on main road vehicles damaged at Chandan Nagar Kindly look into this matter.,Roads & Potholes,High
14,Street light pole rusted leaning at Khajrana needs repair Please resolve urgently.,Street Lights,Medium
15,Deep trench dug left open no barrier at Bypass Road road Please take immediate action.,Roads & Potholes,High
16,Electric short circuit fire sparks from box at Scheme 54 Please take immediate action.,Electricity,High
17,High mast light tower tilting about to fall at Tilak Nagar Please resolve urgently.,Street Lights,High
18,Power cut during peak hours daily problem at Sukhliya,Electricity,Medium
19,Request dog shelter near Musakhedi for stray animals This is causing great inconvenience.,Sanitation,Low
20,Pothole near Ring Road school children at risk daily,Roads & Potholes,Medium
21,Suggest water audit for Sanyogitaganj ward reduce wastage Please take immediate action.,Water Issues,Low
22,Street light on during day wasting electricity at Polo Ground,Electricity,Medium
23,Electric meter box burnt fire risk in Race Course Road building,Electricity,High
24,Large pothole caused serious accident injury at Rau Kindly look into this matter.,Roads & Potholes,High
25,Drain blocked water stagnating mosquitoes breeding Nehru Nagar This is causing great inconvenience.,Sanitation,Medium
26,Broken water main causing massive flooding near Rajendra Nagar This has been ignored for long.,Water Issues,High
27,Speed breaker broken uneven causing discomfort at Sapna Sangeeta Road,Roads & Potholes,Medium
28,Suggest parking area demarcation at Geeta Bhawan market Please take immediate action.,Roads & Potholes,Low
29,Massive crater on main road vehicles damaged at Bengali Square This has been ignored for long.,Roads & Potholes,High
30,High tension wire snapped fallen on road Treasure Island Area emergency This has been ignored for long.,Electricity,High
31,Electric pole fallen blocking entire road at Bijalpur Kindly look into this matter.,Electricity,High
32,Flickering street light disturbing residents at Bombay Hospital Road Please resolve urgently.,Street Lights,Medium
33,Suggest festive lighting plan for Nipania market area Residents are suffering.,Street Lights,Low
34,Open defecation near Old Palasia school health emergency,Sanitation,High
35,Suggest parking area demarcation at Marimata Chowk market This is causing great inconvenience.,Roads & Potholes,Low
36,Open drain overflowing sewage water entering homes at Geeta Bhawan Please resolve urgently.,Sanitation,High
37,Suggest road beautification drive for Chandan Nagar main road This is causing great inconvenience.,Roads & Potholes,Low
38,Underground pipeline leaking water gushing out at Ring Road Please resolve urgently.,Water Issues,High
39,Loose wire hanging from pole at Marimata Chowk needs fixing This is causing great inconvenience.,Electricity,Medium
40,Live electric wire fallen on road at Bhanwarkua danger to life,Electricity,High
41,Suggest dustbin at Shivaji Nagar park entrance gate Please resolve urgently.,Sanitation,Low
42,Water connection pipe broken needs replacement at Pardesipura,Water Issues,Medium
43,Suggest lights on Pardesipura walking track path,Street Lights,Low
44,Request speed breaker installation near LIG Colony school This has been ignored for long.,Roads & Potholes,Low
45,Request public toilet construction near AB Road market,Sanitation,Low
46,Dustbin overflowing garbage spilling on road at Gandhi Nagar This is causing great inconvenience.,Sanitation,Medium
47,Suggest dustbin at Nipania park entrance gate This is causing great inconvenience.,Sanitation,Low
48,Massive crater on main road vehicles damaged at Kanadiya Road,Roads & Potholes,High
49,Open manhole cover missing accident risk at Airport Road road Kindly look into this matter.,Roads & Potholes,High
50,CCTV cameras not working due to power issue at Musakhedi,Electricity,Medium
51,Drain blocked water stagnating mosquitoes breeding Regal Square,Sanitation,Medium
52,Open manhole cover missing accident risk at Kanadiya Road road,Roads & Potholes,High
53,Request rainwater harvesting system for AB Road colony Please take immediate action.,Water Issues,Low
54,Water connection pipe broken needs replacement at Dewas Naka,Water Issues,Medium
